2024-07-03 17:40:23.549 [restartedMain] INFO  [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-07-03 17:40:23.556 [restartedMain] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2024-07-03 17:40:23.556 [restartedMain] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 219 ms
2024-07-03 17:40:30.461 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Using db table-based data access locking (synchronization).
2024-07-03 17:40:30.462 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - JobStoreCMT initialized.
2024-07-03 17:40:31.157 [restartedMain] INFO  [o.s.b.actuate.endpoint.web.EndpointLinksResolver] - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-07-03 17:40:31.172 [restartedMain] INFO  [o.s.security.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@52c130b5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@55f4e8e, org.springframework.security.web.context.SecurityContextHolderFilter@1fe0ffad, org.springframework.security.web.header.HeaderWriterFilter@39915ae5, org.springframework.security.web.authentication.logout.LogoutFilter@415fd5b, com.redpig.security.filter.JwtAuthenticationTokenFilter@412267ef, com.redpig.security.filter.LoginAuthenticationFilter@174ee81f, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7995e5f9, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5670b76f, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@4cd136db, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6425c1e7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@65859f48, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@33053af1, org.springframework.security.web.access.ExceptionTranslationFilter@7cbfa3c8, org.springframework.security.web.access.intercept.AuthorizationFilter@1ebb405a]
2024-07-03 17:40:31.265 [restartedMain] INFO  [o.s.b.d.autoconfigure.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2024-07-03 17:40:31.287 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 9999 (http) with context path ''
2024-07-03 17:40:31.288 [restartedMain] INFO  [o.s.scheduling.quartz.SchedulerFactoryBean] - Starting Quartz Scheduler now
2024-07-03 17:40:31.762 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Freed 0 triggers from 'acquired' / 'blocked' state.
2024-07-03 17:40:31.985 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Recovering 0 jobs that were in-progress at the time of the last shut-down.
2024-07-03 17:40:31.985 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Recovery complete.
2024-07-03 17:40:32.102 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Removed 0 'complete' triggers.
2024-07-03 17:40:32.239 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Removed 0 stale fired job entries.
2024-07-03 17:40:32.506 [restartedMain] INFO  [o.s.b.d.a.ConditionEvaluationDeltaLoggingListener] - Condition evaluation unchanged
2024-07-03 17:48:54.804 [File Watcher] INFO  [o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener] - Restarting due to 160 class path changes (0 additions, 0 deletions, 160 modifications)
2024-07-03 17:48:54.810 [Thread-8] INFO  [org.apache.catalina.core.StandardService] - Stopping service [Tomcat]
2024-07-03 17:48:54.814 [Thread-8] INFO  [o.s.scheduling.quartz.SchedulerFactoryBean] - Shutting down Quartz Scheduler
2024-07-03 17:48:55.078 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 9999 (http)
2024-07-03 17:48:55.079 [restartedMain] INFO  [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2024-07-03 17:48:55.079 [restartedMain] INFO  [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-07-03 17:48:55.085 [restartedMain] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2024-07-03 17:48:55.085 [restartedMain] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 204 ms
2024-07-03 17:49:02.544 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Using db table-based data access locking (synchronization).
2024-07-03 17:49:02.544 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - JobStoreCMT initialized.
2024-07-03 17:49:03.569 [restartedMain] INFO  [o.s.b.actuate.endpoint.web.EndpointLinksResolver] - Exposing 1 endpoint(s) beneath base path '/actuator'
